,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
7342,129300167,California,,4-year,Single,"$100,000 - $119,999",Hillary Clinton
7343,129302792,Washington,,Some college,Domestic partnership,"$30,000 - $39,999",Hillary Clinton
7344,129313520,Texas,,Some college,Married,"$80,000 - $99,999",Donald Trump
7345,129319184,Florida,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
7346,129319739,Kentucky,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
7347,129330248,New York,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
7348,129334760,California,,Some college,Single,"$70,000 - $79,999",Hillary Clinton
7349,129338126,Florida,,Some college,Married,"$30,000 - $39,999",Hillary Clinton
7350,129339041,Pennsylvania,,4-year,Divorced,"$70,000 - $79,999",Donald Trump
7351,129342260,Florida,,4-year,Divorced,"$10,000 - $19,999",Donald Trump
7352,129344798,Michigan,,Post-grad,Married,"$50,000 - $59,999",Hillary Clinton
7353,129349619,Massachusetts,,2-year,Married,"$40,000 - $49,999",Donald Trump
7354,129352922,Washington,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
7355,129353048,Minnesota,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
7356,129358910,Minnesota,,Some college,Divorced,"$80,000 - $99,999",Donald Trump
7357,129360941,Florida,,2-year,Divorced,Prefer not to say,Donald Trump
7358,129361595,Colorado,,High school graduate,Divorced,"Less than $10,000",Hillary Clinton
7359,129362492,Arizona,,4-year,Married,"$70,000 - $79,999",Donald Trump
7360,129365147,Utah,,Some college,Married,"$100,000 - $119,999",Evan McMullin
7361,129366155,Florida,,Some college,Married,"$50,000 - $59,999",Donald Trump
7362,129366467,District of Columbia,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
7363,129367277,Florida,,4-year,Married,"$30,000 - $39,999",Donald Trump
7364,129370319,Wisconsin,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
7365,129371933,California,,No HS,Married,"$30,000 - $39,999",Donald Trump
7366,129372983,New York,,Post-grad,Married,Prefer not to say,Hillary Clinton
7367,129381800,California,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7368,129383846,West Virginia,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7369,129385952,North Carolina,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
7370,129391121,Kansas,,Post-grad,Divorced,"$40,000 - $49,999",Hillary Clinton
7371,129398291,Georgia,,High school graduate,Married,Prefer not to say,Hillary Clinton
7372,129401312,California,,2-year,Separated,"$60,000 - $69,999",Jill Stein
7373,129403730,Florida,,Some college,Widowed,"$150,000 or more",Hillary Clinton
7374,129406925,Wisconsin,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
7375,129409013,North Carolina,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
7376,129412628,Illinois,,2-year,Married,"$10,000 - $19,999",Hillary Clinton
7377,129414416,Minnesota,,4-year,Married,"$20,000 - $29,999",Hillary Clinton
7378,129434402,Washington,,4-year,Divorced,"$60,000 - $69,999",Hillary Clinton
7379,129451526,Colorado,,Some college,Married,"$40,000 - $49,999",Donald Trump
7380,129456737,Hawaii,,Some college,Married,"$70,000 - $79,999",Donald Trump
7381,129460607,Michigan,,Some college,Married,"$70,000 - $79,999",Donald Trump
7382,129467618,California,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
7383,129473474,Pennsylvania,,Post-grad,Married,Prefer not to say,Hillary Clinton
7384,129474440,Delaware,,Some college,Divorced,Prefer not to say,Donald Trump
7385,129475115,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
7386,129479249,California,,4-year,Divorced,"$70,000 - $79,999",Hillary Clinton
7387,129480869,Virginia,,4-year,Married,"$50,000 - $59,999",Donald Trump
7388,129482102,Minnesota,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
7389,129483914,Illinois,,High school graduate,Single,"$10,000 - $19,999",
7390,129484412,Utah,,Some college,Married,Prefer not to say,Hillary Clinton
7391,129492092,California,,Some college,Domestic partnership,"$40,000 - $49,999",Hillary Clinton
7392,129493358,New York,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
7393,129497309,Kentucky,,High school graduate,Single,"$500,000 or more",
7394,129501107,Tennessee,,High school graduate,Widowed,Prefer not to say,Hillary Clinton
7395,129502025,Texas,,2-year,Married,"$10,000 - $19,999",Donald Trump
7396,129504653,Pennsylvania,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
7397,129528275,Massachusetts,,Some college,Divorced,Prefer not to say,Donald Trump
7398,129531971,Washington,,4-year,Widowed,Prefer not to say,Hillary Clinton
7399,129540395,Idaho,,4-year,Married,"$100,000 - $119,999",Donald Trump
7400,129542183,North Carolina,,2-year,Married,"$50,000 - $59,999",Donald Trump
7401,129552140,New Jersey,,4-year,Widowed,"$30,000 - $39,999",Donald Trump
7402,129563336,Wisconsin,,4-year,Widowed,"$20,000 - $29,999",Donald Trump
7403,129563705,Oklahoma,,2-year,Married,"$60,000 - $69,999",Donald Trump
7404,129566138,Indiana,,2-year,Married,"$50,000 - $59,999",Donald Trump
7405,129570233,California,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
7406,129597302,Arizona,,4-year,Single,"$30,000 - $39,999",Donald Trump
7407,129597506,Tennessee,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
7408,129607064,Oregon,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
7409,129608261,Virginia,,Some college,Married,Prefer not to say,Hillary Clinton
7410,129630938,Indiana,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
7411,129639113,Indiana,,Some college,Widowed,"$20,000 - $29,999",Hillary Clinton
7412,129641216,New York,,Some college,Divorced,"$50,000 - $59,999",Hillary Clinton
7413,129648647,Pennsylvania,,No HS,Married,"$50,000 - $59,999",Donald Trump
7414,129649763,Tennessee,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
7415,129650432,Nevada,,High school graduate,Married,Prefer not to say,Donald Trump
7416,129653519,Oklahoma,,2-year,Widowed,"$20,000 - $29,999",Hillary Clinton
7417,129656375,Maryland,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
7418,129656516,Missouri,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
7419,129660668,Florida,,High school graduate,Divorced,"$40,000 - $49,999",Donald Trump
7420,129660911,Colorado,,Post-grad,Widowed,Prefer not to say,Hillary Clinton
7421,129674018,Maryland,,High school graduate,Single,"$10,000 - $19,999",
7422,129675653,Maryland,,2-year,Married,"$10,000 - $19,999",Hillary Clinton
7423,129689825,New Hampshire,,Post-grad,Divorced,"$200,000 - $249,999",Donald Trump
7424,129697652,Texas,,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
7425,129698147,Virginia,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
7426,129711026,District of Columbia,,Some college,Widowed,"$70,000 - $79,999",Hillary Clinton
7427,129724949,New York,,4-year,Single,"Less than $10,000",Jill Stein
7428,129728375,Oregon,,Some college,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
7429,129731945,Texas,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
7430,129737276,Pennsylvania,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7431,129737345,Missouri,,2-year,Married,"$120,000 - $149,999",Donald Trump
7432,129738677,Illinois,,4-year,Married,Prefer not to say,Hillary Clinton
7433,129743198,Minnesota,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
7434,129756641,Oregon,,2-year,Single,"$30,000 - $39,999",Hillary Clinton
7435,129758525,California,,4-year,Married,"$60,000 - $69,999",Hillary Clinton
7436,129758915,Pennsylvania,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
7437,129762059,California,,Some college,Single,"$30,000 - $39,999",Donald Trump
7438,129776699,California,,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
7439,129777410,Colorado,,4-year,Married,"$80,000 - $99,999",Donald Trump
7440,129781736,Florida,,4-year,Divorced,"$20,000 - $29,999",Donald Trump
7441,129789449,Arizona,,Post-grad,Married,"$30,000 - $39,999",Gary Johnson
7442,129796838,Illinois,,Some college,Widowed,"$70,000 - $79,999",Donald Trump
7443,129806657,New York,,High school graduate,Married,Prefer not to say,Hillary Clinton
7444,129821123,Florida,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
7445,129830297,Florida,,Some college,Married,"$70,000 - $79,999",Donald Trump
7446,129832265,Virginia,,Some college,Married,"$40,000 - $49,999",Gary Johnson
7447,129833618,New Mexico,,Post-grad,Divorced,"$40,000 - $49,999",
7448,129838709,California,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
7449,129843623,California,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
7450,129844316,Utah,,4-year,Married,"$70,000 - $79,999",Jill Stein
7451,129846911,Florida,,Some college,Domestic partnership,"$60,000 - $69,999",Hillary Clinton
7452,129850433,Colorado,,Some college,Widowed,"$20,000 - $29,999",Hillary Clinton
7453,129852011,Texas,,High school graduate,Divorced,"$60,000 - $69,999",Donald Trump
7454,129852173,Missouri,,High school graduate,Married,"$100,000 - $119,999",Hillary Clinton
7455,129865127,Arizona,,Some college,Divorced,Prefer not to say,Hillary Clinton
7456,129867926,Virginia,,High school graduate,Divorced,Prefer not to say,Donald Trump
7457,129870293,New Jersey,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
7458,129880724,Tennessee,,Some college,Single,"$20,000 - $29,999",Donald Trump
7459,129886349,Washington,,High school graduate,Divorced,"Less than $10,000",Donald Trump
7460,129894839,North Carolina,,2-year,Married,"$70,000 - $79,999",Donald Trump
7461,129919928,Mississippi,,Some college,Married,"$30,000 - $39,999",Donald Trump
7462,129921008,Massachusetts,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
7463,129921890,New Mexico,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
7464,129923630,Florida,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
7465,129936551,Florida,,High school graduate,Married,"$100,000 - $119,999",Hillary Clinton
7466,129944408,California,,4-year,Married,"$100,000 - $119,999",Donald Trump
7467,129951815,Illinois,,High school graduate,Separated,Prefer not to say,Hillary Clinton
7468,129959201,Ohio,,High school graduate,Single,"$30,000 - $39,999",Hillary Clinton
7469,129960317,Minnesota,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7470,129963068,South Carolina,,High school graduate,Divorced,"Less than $10,000",Donald Trump
7471,129967571,Tennessee,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
7472,129968978,Ohio,,No HS,Divorced,"$10,000 - $19,999",Hillary Clinton
7473,129969233,Oregon,,4-year,Domestic partnership,"$50,000 - $59,999",Hillary Clinton
7474,129972116,Florida,,Some college,Single,"$20,000 - $29,999",Hillary Clinton
7475,129978512,Indiana,,2-year,Married,"$60,000 - $69,999",Donald Trump
7476,129983606,Nevada,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
7477,129986948,Wisconsin,,Some college,Married,"$10,000 - $19,999",Hillary Clinton
7478,129988265,Florida,,High school graduate,Domestic partnership,"$20,000 - $29,999",Donald Trump
7479,129989756,Minnesota,,Some college,Married,"$70,000 - $79,999",Donald Trump
7480,129993347,Missouri,,4-year,Single,"$10,000 - $19,999",Hillary Clinton
7481,129994838,Florida,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
7482,130000967,Tennessee,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
7483,130008281,Ohio,,Some college,Single,"$70,000 - $79,999",Hillary Clinton
7484,130008887,Ohio,,2-year,Married,"$100,000 - $119,999",Hillary Clinton
7485,130009616,Pennsylvania,,4-year,Married,"$50,000 - $59,999",Donald Trump
7486,130013447,Florida,,2-year,Married,"$120,000 - $149,999",Hillary Clinton
7487,130015853,New York,,High school graduate,Single,"$20,000 - $29,999",Donald Trump
7488,130021103,Oregon,,4-year,Divorced,"$20,000 - $29,999",Hillary Clinton
7489,130021697,Michigan,,4-year,Married,"$40,000 - $49,999",Donald Trump
7490,130021700,Florida,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7491,130021817,Texas,,4-year,Single,"$30,000 - $39,999",Hillary Clinton
7492,130041761,Texas,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
7493,130045379,Iowa,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
7494,130050332,Maryland,,Post-grad,Married,"$40,000 - $49,999",Donald Trump
7495,130062497,Maine,,Some college,Divorced,Prefer not to say,
7496,130066718,Oklahoma,,Some college,Widowed,"$10,000 - $19,999",Gary Johnson
7497,130080323,Indiana,,High school graduate,Widowed,"$40,000 - $49,999",Hillary Clinton
7498,130081574,Maryland,,Some college,Single,"$250,000 - $349,999",Hillary Clinton
7499,130083152,Louisiana,,4-year,Single,Prefer not to say,Hillary Clinton
7500,130087967,Maryland,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
7501,130089302,New York,,4-year,Widowed,"$30,000 - $39,999",Hillary Clinton
7502,130095230,Georgia,,Some college,Married,Prefer not to say,Donald Trump
7503,130100054,California,,Some college,Domestic partnership,"$100,000 - $119,999",Donald Trump
7504,130106858,Texas,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
7505,130108223,Ohio,,4-year,Domestic partnership,"$80,000 - $99,999",Hillary Clinton
7506,130114937,New Jersey,,High school graduate,Widowed,"$20,000 - $29,999",Other
7507,130124387,Tennessee,,4-year,Divorced,"$120,000 - $149,999",Donald Trump
7508,130132814,Nevada,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
7509,130132868,Oregon,,4-year,Domestic partnership,"$40,000 - $49,999",Hillary Clinton
7510,130136000,Tennessee,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
7511,130136447,Maryland,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
7512,130137125,Michigan,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
7513,130140794,Maryland,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
7514,130142795,Florida,,4-year,Married,"$200,000 - $249,999",Hillary Clinton
7515,130150142,Washington,,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
7516,130151255,North Carolina,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
7517,130153895,Illinois,,Some college,Widowed,Prefer not to say,Donald Trump
7518,130156520,Kansas,,4-year,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
7519,130164413,Florida,,4-year,Married,Prefer not to say,Hillary Clinton
7520,130181063,Texas,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
7521,130189769,New York,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
7522,130190804,California,,4-year,Single,"$40,000 - $49,999",Donald Trump
7523,130198397,Georgia,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
7524,130224896,Florida,,Some college,Widowed,"$50,000 - $59,999",Donald Trump
7525,130234766,New Mexico,,Some college,Married,Prefer not to say,Hillary Clinton
7526,130240172,New York,,Some college,Widowed,"$20,000 - $29,999",Hillary Clinton
7527,130248905,Massachusetts,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
7528,130265270,Florida,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
7529,130265291,Texas,,Some college,Married,"$100,000 - $119,999",Donald Trump
7530,130285385,Florida,,4-year,Married,Prefer not to say,Donald Trump
7531,130285739,Colorado,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
7532,130289222,Missouri,,4-year,Married,"$30,000 - $39,999",Donald Trump
7533,130306253,California,,Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
7534,130326533,California,,High school graduate,Domestic partnership,"$50,000 - $59,999",
7535,130327307,Rhode Island,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
7536,130328897,Vermont,,4-year,Single,"$30,000 - $39,999",Other
7537,130333103,Massachusetts,,2-year,Divorced,"$30,000 - $39,999",Hillary Clinton
7538,130335392,Texas,,High school graduate,Single,"$50,000 - $59,999",Donald Trump
7539,130346423,Florida,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
7540,130346462,Virginia,,4-year,Married,Prefer not to say,Donald Trump
7541,130347938,Mississippi,,2-year,Married,"$100,000 - $119,999",Donald Trump
7542,130354961,Nevada,,Some college,Married,"$20,000 - $29,999",Hillary Clinton
7543,130371254,Mississippi,,Post-grad,Married,"$60,000 - $69,999",Donald Trump
7544,130372544,Texas,,Some college,Divorced,"$40,000 - $49,999",Hillary Clinton
7545,130405859,Virginia,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
7546,130407107,North Carolina,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
7547,130411214,California,,Some college,Divorced,"$50,000 - $59,999",Donald Trump
7548,130413716,California,,4-year,Divorced,"$20,000 - $29,999",Donald Trump
7549,130423217,Virginia,,Some college,Single,"$40,000 - $49,999",
7550,130441334,Nevada,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
7551,130444346,Illinois,,High school graduate,Married,"$100,000 - $119,999",Hillary Clinton
7552,130451762,Texas,,Some college,Married,Prefer not to say,Donald Trump
7553,130465028,Michigan,,Some college,Domestic partnership,"$10,000 - $19,999",Hillary Clinton
7554,130465196,Missouri,,High school graduate,Single,"$10,000 - $19,999",Hillary Clinton
7555,130472405,Pennsylvania,,High school graduate,Divorced,"$10,000 - $19,999",Hillary Clinton
7556,130478144,Pennsylvania,,Some college,Single,"$10,000 - $19,999",Donald Trump
7557,130481180,Georgia,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7558,130485029,Texas,,Some college,Divorced,"$40,000 - $49,999",
7559,130492469,Idaho,,Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
7560,130493096,Nebraska,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
7561,130496351,Maryland,,4-year,Married,"$80,000 - $99,999",Donald Trump
7562,130530428,Pennsylvania,,High school graduate,Single,"$30,000 - $39,999",Hillary Clinton
7563,130537517,Florida,,4-year,Married,"$80,000 - $99,999",Donald Trump
7564,130543619,Ohio,,4-year,Single,Prefer not to say,Donald Trump
7565,130554608,New Jersey,,High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
7566,130564766,Utah,,2-year,Single,"$20,000 - $29,999",Donald Trump
7567,130565795,Montana,,Post-grad,Divorced,"$40,000 - $49,999",Donald Trump
7568,130571327,Massachusetts,,High school graduate,Married,Prefer not to say,Donald Trump
7569,130576049,Indiana,,High school graduate,Divorced,"$10,000 - $19,999",Donald Trump
7570,130581983,New Jersey,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
7571,130593620,Illinois,,Some college,Single,"Less than $10,000",
7572,130615328,Illinois,,4-year,Divorced,"$40,000 - $49,999",Donald Trump
7573,130616513,California,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
7574,130619789,Florida,,Post-grad,Married,Prefer not to say,Donald Trump
7575,130625957,Georgia,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
7576,130632209,Oklahoma,,4-year,Married,"Less than $10,000",Hillary Clinton
7577,130632398,Florida,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7578,130649357,Texas,,Some college,Divorced,"$10,000 - $19,999",
7579,130651379,New Jersey,,High school graduate,Divorced,"$40,000 - $49,999",Donald Trump
7580,130663211,South Carolina,,Some college,Widowed,"$30,000 - $39,999",Donald Trump
7581,130664780,Pennsylvania,,2-year,Single,Prefer not to say,Hillary Clinton
7582,130679024,Iowa,,Some college,Married,"$50,000 - $59,999",Gary Johnson
7583,130722950,Virginia,,High school graduate,Single,"$20,000 - $29,999",Hillary Clinton
7584,130733957,Idaho,,4-year,Married,"$70,000 - $79,999",Jill Stein
7585,130742612,South Carolina,,4-year,Separated,"$70,000 - $79,999",Hillary Clinton
7586,130776251,New York,,High school graduate,Married,Prefer not to say,Donald Trump
7587,130777706,Washington,,4-year,Married,"$80,000 - $99,999",Donald Trump
7588,130801106,Arizona,,4-year,Married,"$80,000 - $99,999",Donald Trump
7589,130818998,Alabama,,Some college,Married,"$40,000 - $49,999",Donald Trump
7590,130819727,California,,Some college,Married,"$50,000 - $59,999",Hillary Clinton
7591,130822910,Illinois,,4-year,Married,"$80,000 - $99,999",
7592,130826558,Pennsylvania,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
7593,130834943,West Virginia,,High school graduate,Married,"$40,000 - $49,999",Jill Stein
7594,130846925,Arizona,,Some college,Widowed,Prefer not to say,Donald Trump
7595,130885505,Georgia,,Some college,Married,"$30,000 - $39,999",Gary Johnson
7596,130891607,New York,,Some college,Married,Prefer not to say,Donald Trump
7597,130891652,Missouri,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
7598,130897208,South Carolina,,2-year,Married,"$20,000 - $29,999",Hillary Clinton
7599,130907108,North Carolina,,Post-grad,Married,"$200,000 - $249,999",Other
7600,130909982,Florida,,Post-grad,Married,"$80,000 - $99,999",
7601,130922138,Arizona,,Some college,Married,Prefer not to say,Donald Trump
7602,130931285,North Carolina,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
7603,130942538,Illinois,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
7604,130953059,Florida,,Some college,Divorced,"Less than $10,000",Hillary Clinton
7605,130964441,Kansas,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
7606,130965032,Indiana,,High school graduate,Single,"$20,000 - $29,999",Hillary Clinton
7607,130970117,Georgia,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
7608,130983671,Florida,,4-year,Divorced,"$80,000 - $99,999",Hillary Clinton
7609,130984964,Pennsylvania,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
7610,130993598,North Carolina,,Post-grad,Married,Prefer not to say,Donald Trump
7611,130993661,California,,High school graduate,Single,"$10,000 - $19,999",Hillary Clinton
7612,130994642,Florida,,No HS,Divorced,"$10,000 - $19,999",Donald Trump
7613,131012936,California,,4-year,Married,"$20,000 - $29,999",Hillary Clinton
7614,131023286,Washington,,Post-grad,Domestic partnership,"$60,000 - $69,999",Hillary Clinton
7615,131034785,Georgia,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
7616,131036429,New Jersey,,Post-grad,Married,"$80,000 - $99,999",Other
7617,131042846,North Carolina,,Post-grad,Divorced,"$120,000 - $149,999",Did not vote for President
7618,131060624,Wisconsin,,Some college,Widowed,"$50,000 - $59,999",Hillary Clinton
7619,131061002,Tennessee,,2-year,Single,"$30,000 - $39,999",Donald Trump
7620,131062517,West Virginia,,4-year,Single,"$80,000 - $99,999",Hillary Clinton
7621,131071391,Missouri,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
7622,131074895,Nebraska,,4-year,Widowed,"$30,000 - $39,999",Hillary Clinton
7623,131082653,North Carolina,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
7624,131086151,Florida,,High school graduate,Divorced,"$20,000 - $29,999",Donald Trump
7625,131087546,Oregon,,2-year,Divorced,"$20,000 - $29,999",Hillary Clinton
7626,131090777,New York,,Some college,Divorced,"$120,000 - $149,999",Hillary Clinton
7627,131099636,Florida,,High school graduate,Widowed,Prefer not to say,Hillary Clinton
7628,131099861,Minnesota,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
7629,131101136,Arizona,,4-year,Single,"$120,000 - $149,999",Donald Trump
7630,131109521,Missouri,,4-year,Married,"$40,000 - $49,999",Donald Trump
7631,131109686,California,,No HS,Widowed,Prefer not to say,
7632,131114348,Massachusetts,,Some college,Single,"$10,000 - $19,999",Hillary Clinton
7633,131117630,Alabama,,No HS,Married,"$10,000 - $19,999",
7634,131122331,California,,High school graduate,Widowed,"$10,000 - $19,999",Donald Trump
7635,131136782,North Carolina,,Some college,Domestic partnership,"$50,000 - $59,999",Hillary Clinton
7636,131140688,Ohio,,No HS,Married,Prefer not to say,Donald Trump
7637,131143019,Washington,,2-year,Married,"$100,000 - $119,999",Hillary Clinton
7638,131145350,Pennsylvania,,Some college,Married,"$80,000 - $99,999",Donald Trump
7639,131151158,Texas,,Some college,Married,"$150,000 - $199,999",Donald Trump
7640,131152241,Illinois,,Some college,Single,"$40,000 - $49,999",Hillary Clinton
7641,131156492,Texas,,High school graduate,Separated,Prefer not to say,Gary Johnson
7642,131161634,Iowa,,High school graduate,Single,"Less than $10,000",Gary Johnson
7643,131164256,Illinois,,4-year,Single,"$70,000 - $79,999",Hillary Clinton
7644,131173172,Kansas,,High school graduate,Widowed,Prefer not to say,Hillary Clinton
7645,131174546,Illinois,,High school graduate,Widowed,Prefer not to say,Donald Trump
7646,131178629,Connecticut,,Post-grad,Single,"$50,000 - $59,999",Gary Johnson
7647,131179502,Massachusetts,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
7648,131181020,New Mexico,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
7649,131183039,Florida,,Post-grad,Divorced,"$120,000 - $149,999",Hillary Clinton
7650,131187560,Pennsylvania,,2-year,Single,"$20,000 - $29,999",Hillary Clinton
7651,131195426,Michigan,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
7652,131201693,Oklahoma,,4-year,Married,"$10,000 - $19,999",Hillary Clinton
7653,131203109,New York,,Some college,Married,"Less than $10,000",Jill Stein
7654,131211776,Washington,,2-year,Single,"$100,000 - $119,999",Donald Trump
7655,131217536,Ohio,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
7656,131218097,Colorado,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
7657,131223224,Illinois,,4-year,Married,Prefer not to say,Donald Trump
7658,131223569,Georgia,,4-year,Married,"$150,000 - $199,999",Donald Trump
7659,131224886,Minnesota,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
7660,131225192,North Carolina,,High school graduate,Married,Prefer not to say,Donald Trump
7661,131229833,Maine,,Post-grad,Married,Prefer not to say,Hillary Clinton
7662,131232920,Oregon,,Some college,Married,"$60,000 - $69,999",Donald Trump
7663,131241482,Montana,,High school graduate,Married,"$100,000 - $119,999",Hillary Clinton
7664,131244062,Arizona,,4-year,Married,"$100,000 - $119,999",Donald Trump
7665,131245178,Tennessee,,Post-grad,Single,"$30,000 - $39,999",Gary Johnson
7666,131251412,California,,2-year,Single,Prefer not to say,Hillary Clinton
7667,131253020,California,,4-year,Married,"$100,000 - $119,999",Donald Trump
7668,131254946,Georgia,,4-year,Widowed,"$70,000 - $79,999",Hillary Clinton
7669,131259623,Washington,,4-year,Divorced,"$60,000 - $69,999",Hillary Clinton
7670,131263463,New York,,High school graduate,Divorced,"$100,000 - $119,999",Donald Trump
7671,131264672,Minnesota,,No HS,Married,"$20,000 - $29,999",Donald Trump
7672,131273543,New York,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
7673,131274053,Wisconsin,,Post-grad,Married,"$40,000 - $49,999",Other
7674,131295287,California,,2-year,Married,Prefer not to say,Donald Trump
7675,131297816,Florida,,Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
7676,131311940,Missouri,,Some college,Single,"$40,000 - $49,999",
7677,131317853,Georgia,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
7678,131320208,Delaware,,2-year,Married,"$100,000 - $119,999",Hillary Clinton
7679,131326724,Florida,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
7680,131330171,Maryland,,Some college,Single,Prefer not to say,
7681,131338019,New Jersey,,High school graduate,Widowed,"$60,000 - $69,999",Donald Trump
7682,131343329,California,,4-year,Married,"$120,000 - $149,999",Donald Trump
7683,131352671,Colorado,,Some college,Divorced,"$40,000 - $49,999",Donald Trump
7684,131353103,New Jersey,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
7685,131369285,New York,,High school graduate,Widowed,"$100,000 - $119,999",Hillary Clinton
7686,131408375,New Jersey,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
