,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
210,6308873,Oregon,,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
211,6309782,Virginia,,Post-grad,Married,Prefer not to say,Hillary Clinton
212,6309809,Washington,,4-year,Married,Prefer not to say,Donald Trump
213,6310301,Florida,,Some college,Widowed,Prefer not to say,Hillary Clinton
214,6314150,Texas,,Post-grad,Married,Prefer not to say,Hillary Clinton
215,6316652,Illinois,,Post-grad,Domestic partnership,"$120,000 - $149,999",Hillary Clinton
216,6316859,Illinois,,Post-grad,Married,"$250,000 - $349,999",Hillary Clinton
217,6319217,California,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
218,6319613,Arizona,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
219,6319775,Ohio,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
220,6320978,Massachusetts,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
221,6322211,New York,,Post-grad,Married,"$120,000 - $149,999",Other
222,6322364,Oregon,,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
223,6322844,Illinois,,High school graduate,Married,Prefer not to say,Hillary Clinton
224,6322856,Arizona,,Some college,Divorced,"$50,000 - $59,999",Hillary Clinton
225,6323027,Connecticut,,4-year,Married,"$70,000 - $79,999",Other
226,6325184,Michigan,,Post-grad,Widowed,"$70,000 - $79,999",Donald Trump
227,6325313,Oklahoma,,Some college,Married,"$100,000 - $119,999",Donald Trump
228,6325748,Kentucky,,Post-grad,Married,"$500,000 or more",Donald Trump
229,6326321,Louisiana,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
230,6327818,Georgia,,4-year,Married,"$70,000 - $79,999",Donald Trump
231,6331904,Iowa,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
232,6333245,South Dakota,,4-year,Married,"$100,000 - $119,999",Donald Trump
233,6334871,New York,,Some college,Married,"$50,000 - $59,999",Donald Trump
234,6338279,Michigan,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
235,6338711,North Carolina,,4-year,Married,"$120,000 - $149,999",Donald Trump
236,6339260,Florida,,Some college,Widowed,"$50,000 - $59,999",Donald Trump
237,6339377,Florida,,4-year,Single,"$40,000 - $49,999",Donald Trump
238,6342719,Florida,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
239,6345614,Florida,,Some college,Married,"$60,000 - $69,999",Donald Trump
240,6346148,North Dakota,,4-year,Single,Prefer not to say,Donald Trump
241,6348065,Minnesota,,4-year,Married,"$100,000 - $119,999",Donald Trump
242,6348128,Wisconsin,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
243,6359783,Massachusetts,,Post-grad,Married,Prefer not to say,Donald Trump
244,6360410,Washington,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
245,6362912,New Jersey,,High school graduate,Married,"$100,000 - $119,999",Donald Trump
246,6367046,Maryland,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
247,6369662,Florida,,4-year,Married,"$150,000 - $199,999",Donald Trump
248,6370124,Mississippi,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
249,6370370,Kentucky,,4-year,Divorced,"$200,000 - $249,999",Donald Trump
250,6371126,Michigan,,2-year,Married,Prefer not to say,Donald Trump
251,6372302,South Carolina,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
252,6372518,California,,Some college,Widowed,"$40,000 - $49,999",Donald Trump
253,6372674,Massachusetts,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
254,6376448,Arizona,,2-year,Married,"$120,000 - $149,999",Donald Trump
255,6376739,Pennsylvania,,Some college,Married,Prefer not to say,Donald Trump
256,6377012,Colorado,,Post-grad,Divorced,"$120,000 - $149,999",Donald Trump
257,6377219,Washington,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
258,6381221,Texas,,4-year,Married,Prefer not to say,Gary Johnson
259,6381806,California,,Some college,Married,"$80,000 - $99,999",Donald Trump
260,6382718,Washington,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
261,6382949,Texas,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
262,6383609,Missouri,,Post-grad,Married,Prefer not to say,Donald Trump
263,6384797,Florida,,4-year,Single,"Less than $10,000",Donald Trump
264,6385868,Utah,,Some college,Domestic partnership,"$120,000 - $149,999",Donald Trump
265,6386678,Nevada,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
266,6389924,Washington,,Some college,Married,Prefer not to say,Donald Trump
267,6391505,Arizona,,2-year,Divorced,"$20,000 - $29,999",Donald Trump
268,6392225,Oklahoma,,Some college,Single,"$20,000 - $29,999",Hillary Clinton
269,6393803,Florida,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
270,6395504,Pennsylvania,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
271,6396401,Wisconsin,,Some college,Single,Prefer not to say,Donald Trump
272,6400403,California,,Post-grad,Married,"$200,000 - $249,999",Donald Trump
273,6400457,Minnesota,,High school graduate,Married,"$250,000 - $349,999",Donald Trump
274,6400898,New York,,High school graduate,Divorced,"$60,000 - $69,999",Donald Trump
275,6401015,New York,,Some college,Divorced,"$30,000 - $39,999",Hillary Clinton
276,6401321,California,,4-year,Divorced,"$100,000 - $119,999",Donald Trump
277,6405365,Florida,,4-year,Single,Prefer not to say,Hillary Clinton
278,6406562,Wisconsin,,Some college,Single,"$20,000 - $29,999",Donald Trump
279,6406961,Texas,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
280,6409022,New York,,4-year,Married,Prefer not to say,Donald Trump
281,6410645,Pennsylvania,,Some college,Married,"$120,000 - $149,999",Donald Trump
282,6411257,Pennsylvania,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
283,6413630,Maryland,,4-year,Married,"$150,000 - $199,999",Donald Trump
284,6414236,Missouri,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
